"","x"
"156","From my FB page (http://j.mp/a2QDh0) if you could pass 1 bill Prez would sign, what would it be? Repeal ObamaCare/stop spending topping list"
"157","89% of my constituents think gov. spending is out of control. Will @housedemocrats listen to you tomorrow &amp; say no to more bailouts?"
"158","DID YOU KNOW? 67% of my constituents think government """"stimulus"""" spending DOES NOT effectively create jobs. Will @HouseDemocrats listen?"
"159","18 months &amp; trillions of $ later, why has  WH neglected to fill so many key spending watchdog positions? http://j.mp/cnT3a8 I've asked."
"160","This bill is not the right reform: it includes hundreds of billions in new taxes and more than a trillion dollars in new gov�t spending #hcr"
"161","I�m looking forward to spending the entire week meeting with constituents and working in the district."
"162","Our national debt has passed $13 trillion for the first time.  Congress is spending at a dangerously unsustainable rate."
"163","RT @reppaulryan: Cut/cap spending, reform F&amp;F, freeze gov't pay - to cast your vote to cut spending now @usaspeakingout: http://bit.ly/9 ..."
"164","It�s President Obama�s Spending Spree � Not the #Pledge to America � That Threatens Our Children�s Future http://t.co/emTuD2O"
"165","RT @GOPWhip Allow our voice to be heard on out of control spending: http://bit.ly/EBxBl Please RT. Thanks @RepKenMarchant"
"166","RT @GOPWhip: Washington's runaway spending amounts to generational theft; this 30 second video drives that point home: http://j.mp/PiggyBank"
"167","What do you think about the President�s new budget that continues record borrowing and spending? http://j.mp/9048Q5"
"168","Check out this new video from @GOPWhip - http://j.mp/dcKEkA - �Tick Tock - More Democrat Spending� #tcot #gop #sgp"
"169","RT @GOPLeader:.@AP reports on GOP Pledge to America: GOP emphasize job creation, spending control, congressional reform http://bit.ly/a4v4UW"
"170","Health care summit or not, we need jobs &amp; less spending. What do you think? http://j.mp/aDJNiu #tcot #ocra #HC"
"171","RT @USASpeakingOut: Americans asking, Where are the Jobs? @GOPLeader offers 2-point plan: cut spending, freeze taxes: http://bit.ly/cN84ut"
"172","66% of Americans believe cutting taxes is a better way to create new #jobs than increasing gov spending http://j.mp/9MlSaV"
"173","Do you think Congress should cut spending? Vote how we should cut here --&amp;gt; http://republicanwhip.house.gov/youcut/ #YouCut #tcot"
"174","RT @gopleader .@AP reports on #pledge: GOP governing agenda emphasizes job creation, spending control, congress reform http://bit.ly/dsUfFt"
"175","Massive government spending + more business taxes = less economic growth http://j.mp/88bGPT"
"176","RT @GOPWhip The Hill:Job proposals from Dems could add $300 billion of spending http://j.mp/5jspmv #tcot"
"177","WSJ predicts �monumental future tax increases� b/c of out of control Washington spending in Pelosi�s Congress http://bit.ly/3Salym"
"178","The House could have created twice as many jobs at half the cost. But a $1.1 trillion spending bill got this: http://tinyurl.com/buhtot"
"179","The #Pledge to America focuses on job creation, cutting government spending, &amp; restoring accountability to Congress http://t.co/ZyK94Vv"
"180","100K Americans voted how they want to cut Washington spending. You can vote here - http://republicanwhip.house.gov/YouCut/ #YouCut #tcot"
"181","Heritage Charts: The Monthly Interest Payment on the National #Debt is More Than Most Program Spending http://j.mp/czXvp8 #tcot"
"182","Heritage Charts: The Monthly Interest Payment on the National #Debt is More Than Most Program Spending http://j.mp/czXvp8 #tcot"
"183","Federal Spending Grew More Than Eight Times Faster Than Median Income http://j.mp/axiH7s"
"184","Introduced bill to bring more transparency to government spending http://j.mp/dauS0r #tcot"
"185","RT @GOPWhip Did you know:since last #debt limit increase, Dems have passed 0 bills to reduce spending or lower the deficit? #tcot"
"186","Groundhog�s Day came a day early. This year�s President�s budget is worse than last � more record spending &amp; another $1 trillion deficit."
"187","CA Needs Jobs, Not More of the Same Washington Spending &amp; Borrowing http://j.mp/6jbas3 #tcot #gop #kevinmccarthy"
"188","RT @RepTomPrice Dems add more spending, now price of health bill is $1.2 trillion http://bit.ly/497baG"
"189","Common sense solution is to stop spending and decrease the debt, not boost its limits. http://tiny.cc/XPO3"
"190","America Needs Jobs, not just more Govt Spending - CA unemployment when stimulus passed: 10.6%, now in Sept: 12.2% http://tinyurl.com/yggtn3w"
"191","Spending priorities: House Ds wouldn�t consider my amendments to cut $26M bc of time. Today they have time to vote for $200M on wild burros."
"192","Just voted to cut wasteful spending: bikes for congressional staff.   Saves taxpayers $100,000."
"193","Debating budget, let�s put America on a path to prosperity instead of more spending, borrowing, and taxing http://tinyurl.com/csq6px"
"194","RT @RepMaryFallin support the GOP's new budget ... lower taxes and less spending: http://tiny.cc/6O2mX"
"195","Wasteful pork spending is the wrong priority in this economic crisis. We call on the President to veto - http://tinyurl.com/bvw4pl #tcot"
"196","We can�t keep spending money from our children�s generation - http://tinyurl.com/c2p2h2"
"197","RT @GOPLeader: Attn @presssec: Republicans are unified: to boost our economy, we need to stop ALL tax hikes and cut spending now"
