"","x"
"750","Neutral"
"751","Neutral"
"752","Neutral"
"753","Neutral"
"754","Neutral"
"755","Neutral"
"756","Neutral"
"757","Neutral"
"758","Neutral"
"759","Neutral"
"760","Neutral"
"761","Neutral"
"762","Neutral"
"763","Neutral"
"764","Neutral"
"765","Neutral"
"766","Neutral"
"767","Neutral"
"768","Neutral"
"769","Neutral"
"770","Neutral"
"771","Neutral"
"772","Neutral"
"773","Neutral"
"774","Neutral"
"775","Neutral"
"776","Neutral"
"777","Neutral"
"778","Neutral"
"779","Neutral"
"780","Neutral"
"781","Neutral"
"782","Neutral"
"783","Neutral"
"784","Neutral"
"785","Neutral"
"786","Neutral"
"787","Neutral"
"788","Neutral"
"789","Neutral"
"790","Neutral"
"791","Neutral"
"792","Neutral"
"793","Neutral"
"794","Neutral"
"795","Neutral"
"796","Neutral"
"797","Neutral"
"798","Neutral"
"799","Neutral"
"800","Neutral"
"801","Neutral"
"802","Neutral"
"803","Neutral"
"804","Neutral"
"805","Neutral"
"806","Neutral"
"807","Neutral"
"808","Neutral"
"809","Neutral"
"810","Neutral"
"811","Neutral"
"812","Neutral"
"813","Neutral"
"814","Neutral"
"815","Neutral"
"816","Neutral"
"817","Neutral"
"818","Neutral"
"819","Neutral"
"820","Neutral"
"821","Neutral"
"822","Neutral"
"823","Neutral"
"824","Neutral"
"825","Neutral"
"826","Neutral"
"827","Neutral"
"828","Neutral"
"829","Neutral"
"830","Neutral"
"831","Neutral"
"832","Neutral"
"833","Neutral"
"834","Neutral"
"835","Neutral"
"836","Neutral"
"837","Neutral"
"838","Neutral"
"839","Neutral"
"840","Neutral"
"841","Neutral"
"842","Neutral"
"843","Neutral"
"844","Neutral"
"845","Neutral"
"846","Neutral"
"847","Neutral"
"848","Neutral"
"849","Neutral"
"850","Neutral"
"851","Neutral"
"852","Neutral"
"853","Neutral"
"854","Neutral"
"855","Neutral"
"856","Neutral"
"857","Neutral"
"858","Neutral"
"859","Neutral"
"860","Neutral"
"861","Neutral"
"862","Neutral"
"863","Neutral"
"864","Neutral"
"865","Neutral"
"866","Neutral"
"867","Neutral"
"868","Neutral"
"869","Neutral"
"870","Neutral"
"871","Neutral"
"872","Neutral"
"873","Neutral"
"874","Neutral"
"875","Neutral"
"876","Neutral"
"877","Neutral"
"878","Neutral"
"879","Neutral"
"880","Neutral"
"881","Neutral"
"882","Neutral"
"883","Neutral"
"884","Neutral"
"885","Neutral"
"886","Neutral"
"887","Neutral"
"888","Neutral"
"889","Neutral"
"890","Neutral"
"891","Neutral"
"892","Neutral"
"893","Neutral"
"894","Neutral"
"895","Neutral"
"896","Neutral"
"897","Neutral"
"898","Neutral"
"899","Neutral"
"900","Neutral"
"901","Neutral"
"902","Neutral"
"903","Neutral"
"904","Neutral"
"905","Neutral"
"906","Neutral"
"907","Neutral"
"908","Neutral"
"909","Neutral"
"910","Neutral"
"911","Neutral"
"912","Neutral"
"913","Neutral"
"914","Neutral"
"915","Neutral"
"916","Neutral"
"917","Neutral"
"918","Neutral"
"919","Neutral"
"920","Neutral"
"921","Neutral"
"922","Neutral"
"923","Neutral"
"924","Neutral"
"925","Neutral"
"926","Neutral"
"927","Neutral"
"928","Neutral"
"929","Neutral"
"930","Neutral"
"931","Neutral"
"932","Neutral"
"933","Neutral"
"934","Neutral"
"935","Neutral"
"936","Neutral"
"937","Neutral"
"938","Neutral"
"939","Neutral"
"940","Neutral"
"941","Neutral"
"942","Neutral"
"943","Neutral"
"944","Neutral"
"945","Neutral"
"946","Neutral"
"947","Neutral"
"948","Neutral"
"949","Neutral"
"950","Neutral"
"951","Neutral"
"952","Neutral"
"953","Neutral"
"954","Neutral"
"955","Neutral"
"956","Neutral"
"957","Neutral"
"958","Neutral"
"959","Neutral"
"960","Neutral"
"961","Neutral"
"962","Neutral"
"963","Neutral"
"964","Neutral"
"965","Neutral"
"966","Neutral"
"967","Neutral"
"968","Neutral"
"969","Neutral"
"970","Neutral"
"971","Neutral"
"972","Neutral"
"973","Neutral"
"974","Neutral"
"975","Neutral"
"976","Neutral"
"977","Neutral"
"978","Neutral"
"979","Neutral"
"980","Neutral"
"981","Neutral"
"982","Neutral"
"983","Neutral"
"984","Neutral"
"985","Neutral"
"986","Neutral"
"987","Neutral"
"988","Neutral"
"989","Neutral"
"990","Neutral"
"991","Neutral"
"992","Neutral"
"993","Neutral"
"994","Neutral"
"995","Neutral"
"996","Neutral"
"997","Neutral"
"998","Neutral"
"999","Neutral"
"1000","Neutral"
"1001","Neutral"
"1002","Neutral"
"1003","Neutral"
"1004","Neutral"
"1005","Neutral"
"1006","Neutral"
"1007","Neutral"
"1008","Neutral"
"1009","Neutral"
"1010","Neutral"
"1011","Neutral"
"1012","Neutral"
"1013","Neutral"
"1014","Neutral"
"1015","Neutral"
"1016","Neutral"
"1017","Neutral"
"1018","Neutral"
"1019","Neutral"
"1020","Neutral"
"1021","Neutral"
"1022","Neutral"
"1023","Neutral"
"1024","Neutral"
"1025","Neutral"
"1026","Neutral"
"1027","Neutral"
"1028","Neutral"
"1029","Neutral"
"1030","Neutral"
"1031","Neutral"
"1032","Neutral"
"1033","Neutral"
"1034","Neutral"
"1035","Neutral"
"1036","Neutral"
"1037","Neutral"
"1038","Neutral"
"1039","Neutral"
"1040","Neutral"
"1041","Neutral"
"1042","Neutral"
"1043","Neutral"
"1044","Neutral"
"1045","Neutral"
"1046","Neutral"
"1047","Neutral"
"1048","Neutral"
"1049","Neutral"
"1050","Neutral"
"1051","Neutral"
"1052","Neutral"
"1053","Neutral"
"1054","Neutral"
"1055","Neutral"
"1056","Neutral"
"1057","Neutral"
"1058","Neutral"
"1059","Neutral"
"1060","Neutral"
"1061","Neutral"
"1062","Neutral"
"1063","Neutral"
"1064","Neutral"
"1065","Neutral"
"1066","Neutral"
"1067","Neutral"
"1068","Neutral"
"1069","Neutral"
"1070","Neutral"
"1071","Neutral"
"1072","Neutral"
"1073","Neutral"
"1074","Neutral"
"1075","Neutral"
"1076","Neutral"
"1077","Neutral"
"1078","Neutral"
"1079","Neutral"
"1080","Neutral"
"1081","Neutral"
"1082","Neutral"
"1083","Neutral"
"1084","Neutral"
"1085","Neutral"
"1086","Neutral"
"1087","Neutral"
"1088","Neutral"
"1089","Neutral"
"1090","Neutral"
"1091","Neutral"
"1092","Neutral"
"1093","Neutral"
"1094","Neutral"
"1095","Neutral"
"1096","Neutral"
"1097","Neutral"
"1098","Neutral"
"1099","Neutral"
"1100","Neutral"
"1101","Neutral"
"1102","Neutral"
"1103","Neutral"
"1104","Neutral"
"1105","Neutral"
"1106","Neutral"
"1107","Neutral"
"1108","Neutral"
"1109","Neutral"
"1110","Neutral"
"1111","Neutral"
"1112","Neutral"
"1113","Neutral"
"1114","Neutral"
"1115","Neutral"
"1116","Neutral"
"1117","Neutral"
"1118","Neutral"
"1119","Neutral"
"1120","Neutral"
"1121","Neutral"
"1122","Neutral"
"1123","Neutral"
"1124","Neutral"
"1125","Neutral"
"1126","Neutral"
"1127","Neutral"
"1128","Neutral"
"1129","Neutral"
"1130","Neutral"
"1131","Neutral"
"1132","Neutral"
"1133","Neutral"
"1134","Neutral"
"1135","Neutral"
"1136","Neutral"
"1137","Neutral"
"1138","Neutral"
"1139","Neutral"
"1140","Neutral"
"1141","Neutral"
"1142","Neutral"
"1143","Neutral"
"1144","Neutral"
"1145","Neutral"
"1146","Neutral"
"1147","Neutral"
"1148","Neutral"
"1149","Neutral"
"1150","Neutral"
"1151","Neutral"
"1152","Neutral"
"1153","Neutral"
"1154","Neutral"
"1155","Neutral"
"1156","Neutral"
"1157","Neutral"
"1158","Neutral"
"1159","Neutral"
"1160","Neutral"
"1161","Neutral"
"1162","Neutral"
"1163","Neutral"
"1164","Neutral"
"1165","Neutral"
"1166","Neutral"
"1167","Neutral"
"1168","Neutral"
"1169","Neutral"
"1170","Neutral"
"1171","Neutral"
"1172","Neutral"
"1173","Neutral"
"1174","Neutral"
"1175","Neutral"
"1176","Neutral"
"1177","Neutral"
"1178","Neutral"
"1179","Neutral"
"1180","Neutral"
"1181","Neutral"
"1182","Neutral"
"1183","Neutral"
"1184","Neutral"
"1185","Neutral"
"1186","Neutral"
"1187","Neutral"
"1188","Neutral"
"1189","Neutral"
"1190","Neutral"
"1191","Neutral"
"1192","Neutral"
"1193","Neutral"
"1194","Neutral"
"1195","Neutral"
"1196","Neutral"
"1197","Neutral"
"1198","Neutral"
"1199","Neutral"
"1200","Neutral"
"1201","Neutral"
"1202","Neutral"
"1203","Neutral"
"1204","Neutral"
"1205","Neutral"
